评论者昵称,评论内容,cleaned_content,segmented_content,情感分析结果,解析
网恋被骗麦当劳儿童套餐,不想花钱，遂自学,不想花钱 遂自学,不想 花钱 自学,0,该评论表达了因不想花钱而选择自学的个人决定，陈述了一个事实性选择，没有明显的积极或消极情绪表达，整体情感倾向为中性。
宇宙挖宝酱,老师傅：无论如何，传承下去了,老师傅 无论如何 传承下去了,老师傅 无论如何 传承 下去,1,评论中“老师傅”带有尊敬意味，“无论如何”体现了坚持的态度，“传承下去了”则明确表达了积极成果的达成，整体传递出对传统延续的肯定与欣慰，情感倾向为正面。
芷昇昇昇昇,这题我会,这题我会,这题 我会,0,该评论仅表示对问题或话题的熟悉程度，使用了“这题我会”这一常见网络用语，表达自己了解相关内容，但没有明显的积极或消极情感倾向，属于中性陈述。
煜泥啵啵🐟,价格咋样,价格咋样,价格 咋样,0,该评论仅询问价格信息，没有表达任何情感倾向或主观评价，属于中性提问。
待我如初,这题我会，我还会自己画底图,这题我会 我还会自己画底图,这题 我会 底图,1,评论中“这题我会”和“我还会自己画底图”表达了自信和积极的能力展示，语气轻松且带有自豪感，整体情感倾向为正面。
一架滑行的C919,之前刻的，家里还有一堆宣纸和印好的稿子,之前刻的 家里还有一堆宣纸和印好的稿子,之前 家里 一堆 宣纸 印好 稿子,0,该评论仅陈述了“之前刻的家里还有一堆宣纸和印好的稿子”这一事实，没有使用明显的情感词汇，也未表达出喜爱、不满或期待等情绪，属于中性描述。
难过那些被浪费掉的爱,你好哇老师 我想问一下可以用一下这篇帖子里的图吗 想完成一下大学生寒假作业 不会商用😭😭,你好哇老师 我想问一下可以用一下这篇帖子里的图吗 想完成一下大学生寒假作业 不会商用,你好 老师 这篇 帖子 完成 大学生 寒假作业 不会 商用,0,该评论以礼貌的询问方式请求使用图片，明确说明了非商用的学习目的，语气平和且带有尊重（如“老师”称呼），整体表达的是中性的请求意图，没有明显的积极或消极情感倾向。
草莓角cher,借图,借图,借图,0,该评论仅表达借用图片的意图，没有使用明显的情感词汇或表达个人态度，属于客观陈述，因此情感倾向为中性。
Hygge-sunny🦁,哇塞，有我喜欢的海贼王,哇塞 有我喜欢的海贼王,哇塞 喜欢 海贼王,1,评论中使用了“哇塞”这样的感叹词表达惊喜，并明确提到“有我喜欢的海贼王”，直接表达了个人喜爱和积极期待，整体情感倾向为正面。
小雩🐟💤,哇塞，这个可以跟老板看自己想要的图片定制吗,哇塞 这个可以跟老板看自己想要的图片定制吗,哇塞 老板 想要 图片 定制,1,评论中使用“哇塞”表达惊喜和兴奋，同时询问定制可能性体现了对产品的兴趣和期待，整体语气积极且充满好奇。
。。,策安！！！！！,策安,策安,0,该评论仅提及角色名“策安”，未表达任何情感色彩或评价性内容，属于中性陈述，无法判断正面或负面倾向。
清禾宫,还有非遗苏绣也很美哒,还有非遗苏绣也很美哒,非遗 苏绣,1,评论中使用了“很美哒”这样的积极表达，直接赞美了非遗苏绣，传达出欣赏和喜爱的正面情感，整体倾向明确为正面。
夢仲潕忧,那我可就太有话语权了，给同学剪OC她给我发了一百多，虽然我整整捣鼓了两个月,那我可就太有话语权了 给同学剪oc她给我发了一百多 虽然我整整捣鼓了两个月,话语权 同学 oc 给我发 一百多 整整 捣鼓 两个,1,评论中“太有话语权”和“给我发了一百多”表达了自豪感和对收获的满意，“捣鼓”一词虽有辛苦之意，但整体语境是分享一次有成就感的经历，情感倾向积极。
辞玉,学校要写非遗文创调研报告，可以用你的图吗？,学校要写非遗文创调研报告 可以用你的图吗,学校 遗文 调研 报告,0,该评论是询问是否可以使用图片的请求，语气礼貌且目的明确，没有表达明显的情感倾向，属于中性询问。
火鸡面重度依赖,自己做的送朋友的,自己做的送朋友的,朋友,1,评论表达了亲手制作礼物送给朋友的行为，体现了积极的情感和对友情的珍视，整体情感倾向为正面。
司理堂前,都是机器,都是机器,机器,0,该评论仅陈述“都是机器”这一事实，没有使用明显的情感词汇或表达主观态度，缺乏情感倾向性，属于中性陈述。
張時予.,也子哥我带走了哈,也子哥我带走了哈,子哥 带走,1,评论中“也子哥我带走了哈”使用了亲切的昵称“也子哥”和“带走了”这种带有占有或喜爱的表达，整体语气轻松友好，体现了对角色或人物的喜爱和亲近感，情感倾向为正面。
芝舟🚗🍎,想剪，手残,想剪 手残,手残,-1,评论中“手残”是网络用语，指自己动手能力差，带有自嘲和无奈的情绪，表达了对想剪却无法实现的沮丧感，整体情感倾向为负面。
兔🐰芷(NuoZhi)&陆陆熊,在成都哪里？几号线,在成都哪里 几号线,成都 几号,0,该评论仅询问具体地点和交通线路，属于信息咨询类内容，没有表达任何情感倾向或主观评价，因此判断为中性。
Dreamer.,老师傅：管他啥内容 传下去就是了,老师傅 管他啥内容 传下去就是了,老师傅 内容 传下去,0,该评论以调侃语气表达对内容传播的随意态度，使用“管他啥内容”“传下去就是了”等中性表述，未体现明显的积极或消极情绪，更多是描述一种行为倾向，因此整体情感倾向为中性。
草莓山楂糖葫芦,然后今天去就变成198哈,然后今天去就变成哈,今天 变成,0,该评论仅描述了从某时到“今天”状态发生了变化，使用了“变成”这一中性表述，没有包含明显的积极或消极情感词汇，也未表达明确的褒贬态度，因此整体情感倾向为中性。
沐曦,我去成都，大街小巷全都是,我去成都 大街小巷全都是,成都 大街小巷 全都,0,该评论仅陈述了在成都观察到的现象，没有使用明显的情感词汇或表达个人态度，属于客观描述，因此情感倾向为中性。
白芷,呜呜呜，有这家店主的联系方式嘛,呜 有这家店主的联系方式嘛,这家 店主 联系方式,0,该评论仅询问店铺联系方式，属于信息获取类表达，未包含明显积极或消极的情感词汇，也没有表达对店铺或产品的评价，因此情感倾向为中性。
大梨子鱼🐟🍐,哇塞哇塞 傅融哪那张好有感觉,哇塞哇塞 傅融哪那张好有感觉,哇塞 哇塞 傅融 张好,1,评论中使用了“哇塞哇塞”等感叹词表达兴奋和惊喜，同时“好有感觉”直接表达了对傅融形象的强烈喜爱和赞赏，整体情感积极明确。
阿骅田,这题我会,这题我会,这题 我会,1,评论“这题我会”表达了发言者对话题的熟悉和自信，带有积极和乐于参与的情绪，通常用于互动中表示轻松和肯定，因此情感倾向为正面。
道不知,这些剪纸都是老板完成的嘛,这些剪纸都是老板完成的嘛,剪纸 老板 完成,0,该评论仅询问剪纸是否为老板完成，属于事实性询问，没有表达明显的情感倾向或评价性词汇，因此判断为中性。
榭鲭,p6右下角纳西妲昨天刚拿下，做的真的巨好看,p右下角纳西妲昨天刚拿下 做的真的巨好看,右下角 纳西妲 昨天 拿下 好看,1,评论中使用了“巨好看”等强烈积极词汇，表达了对游戏角色“纳西妲”外观的高度赞赏和喜爱，整体情感倾向明显为正面。
一只鱼,请问可以看见制作过程吗,请问可以看见制作过程吗,请问 看见 制作 过程,0,该评论以询问形式表达对制作过程的好奇，使用了礼貌用语“请问”，没有表达明确的情感倾向或价值判断，属于中性信息咨询。
mo mo,宝宝可以借用图片上课讲pre吗，不能的话打扰啦,宝宝可以借用图片上课讲pre吗 不能的话打扰啦,宝宝 借用 图片 上课 pre 打扰,0,该评论以礼貌询问的方式请求使用图片，并表达了“不能的话打扰啦”的尊重态度，整体语气平和，没有明显的积极或消极情绪表达，属于中性请求。
🍳煎蛋鲸鱼🐳,好厉害,好厉害,厉害,1,该评论使用了“好厉害”这一积极词汇，直接表达了对某人或某事的赞赏与钦佩，体现了明显的正面情感倾向。
都行随便吧,🚗和副官,和副官,副官,0,该评论仅提及“和副官”，未表达明确的情感倾向或评价，属于简单陈述，没有积极或消极的情感色彩，因此判断为中性。
晚风温柔,姐妹可以保存一下你的图吗（只是学术研究，不会用来干别的）,姐妹可以保存一下你的图吗 只是学术研究 不会用来干别的,姐妹 保存 学术研究 不会 用来,0,该评论以礼貌请求的方式询问能否保存图片，并说明用途为“学术研究”，语气平和，没有明显的积极或消极情感表达，属于中性沟通。
魔仙堡子（好运喷雾ing）,有没有二次元宝宝互填问卷！！,有没有二次元宝宝互填问卷,有没有 二次元 宝宝 互填 问卷,0,"该评论以询问形式寻求问卷互填，使用了""宝宝""这一网络昵称增加亲和力，但未表达明确的情感立场或评价性内容，整体属于中性信息交流。"
唯e,亲这是在哪里 这个可以定制吗 多少r啊,亲这是在哪里 这个可以定制吗 多少r啊,定制,0,该评论主要询问产品定制相关信息和价格，属于客观咨询，未表达明显的情感倾向。虽然语气较为礼貌，但缺乏积极或消极的情感词汇，整体属于中性询问。
乱步桑我亲亲亲亲,金沙遗址也有！一眼望去全是熟人,金沙遗址也有 一眼望去全是熟人,金沙 遗址 一眼 望去 全是 熟人,1,评论中“一眼望去全是熟人”使用了亲切的比喻，表达了对金沙遗址中熟悉元素的惊喜和认同感，整体语气轻松愉悦，体现了积极的参观体验。
䶒回,去不去锦鲤,去不去锦鲤,去不去 锦鲤,0,该评论仅提出“去不去锦鲤”的询问，未表达明确的情感倾向或评价，属于中性陈述，无法判断正面或负面情感。
土豆仔,我靠!彻子，傅融,我靠 彻子 傅融,彻子 傅融,1,评论中“我靠”作为感叹词表达惊喜或兴奋，“彻子、傅融”是角色名，整体语气充满喜爱和激动，体现了对提及角色的积极情感。
很久沒見,博主 能借图吗 用于小组作业,博主 能借图吗 用于小组作业,博主 借图 用于 小组 作业,0,该评论以询问方式请求借用图片用于小组作业，语气礼貌且目的明确，没有表达强烈的情感倾向或评价性内容，属于中性请求类评论。
檜咹,疯狂心动,疯狂心动,疯狂 心动,1,评论中使用了“疯狂心动”这一网络流行语，表达了对某事物极度喜爱和向往的强烈情感，带有明显的积极情绪和兴奋感，整体情感倾向为正面。
冰恬,在学校给亲友整了一个,在学校给亲友整了一个,学校 亲友 整了,1,该评论描述了在学校为亲友准备或制作某物的行为，使用“整了一个”这种带有积极行动意味的表达，体现了分享和关切的正面情感，整体情感倾向为正面。
青璃,这题我会！,这题我会,这题 我会,0,该评论仅表示对问题或话题的熟悉程度，如“这题我会”通常用于表达自己知道答案或了解相关内容，没有明显的积极或消极情感色彩，属于中性陈述。
月亮在碗里,我也买啦，上次和朋友一人买了一对谢怜花城,我也买啦 上次和朋友一人买了一对谢怜花城,上次 朋友 一人 一对 谢怜 花城,1,评论中“我也买啦”表达了购买行为的参与感和满足感，提及与朋友“一人买了一对”体现了分享的喜悦和对产品的认可，整体传递出积极、愉快的消费体验，情感倾向为正面。
真真真真拉面,哇  ，，，好好看诶,哇 好好看诶,好好看,1,评论中使用了“哇”和“好好看诶”等感叹词和积极词汇，表达了强烈的赞美和喜爱之情，整体情感倾向明显为正面。
我要晕古七了,流下了羡慕的泪水,流下了羡慕的泪水,流下 羡慕 泪水,-1,评论中“羡慕的泪水”表面是羡慕，但结合语境通常表达因自身无法获得而产生的失落或遗憾情绪，隐含对现状的不满或渴望，整体情感倾向为负面。
momo,我哩个超绝大张哥啊,我哩个超绝大张哥啊,我哩个 超绝 大张,1,评论中使用了“超绝”等夸张的积极词汇，表达了对“大张哥”的强烈赞赏和兴奋情绪，整体情感倾向为正面。
AAA水果批发🚗,自习摸鱼搞了个简单的,自习摸鱼搞了个简单的,自习 摸鱼 搞了个 简单,0,该评论仅陈述了“自习摸鱼搞了个简单的”这一行为，未使用明显的情感词汇，也未表达对内容的赞赏或批评，仅描述个人活动，情感倾向不明确，属于中性表达。
梦游,网上找的图，自己刻了,网上找的图 自己刻了,网上,0,该评论仅陈述了“网上找的图，自己刻了”这一事实性行为，没有使用表达喜好或评价的词汇，也没有流露出明显的积极或消极情绪，因此整体情感倾向为中性。
为何痛苦如影随形,这家店叫什么名字,这家店叫什么名字,这家 名字,0,该评论仅询问店铺名称，属于客观信息查询，未表达任何积极或消极的情绪倾向，因此情感判断为中性。
白鹤biu,这家店思机器做的，别打着手工名号………,这家店思机器做的 别打着手工名号,这家 店思 机器 打着 手工 名号,-1,"该评论直接指出店家使用机器制作却以手工为名号进行宣传，带有明显的批评和指责意味。""别打着""这一表述含有不满和揭露虚假宣传的情绪，整体情感倾向为负面。"
ᅠᅠᅠ,可以借图讲一下剪纸吗？,可以借图讲一下剪纸吗,借图 剪纸,0,该评论仅询问是否可以借图讲解剪纸，属于信息咨询类表达，没有明显的积极或消极情感词汇，整体语气中性客观，不带有情感倾向。
Allen,好好看,好好看,好好看,1,评论中使用了“好好看”这一积极表达，直接传达了对内容的喜爱和赞赏，体现了明显的正面情感倾向。
了了,啊啊啊啊啊可惜我没看到,啊可惜我没看到,可惜 看到,0,该评论仅表达了对未能看到某事物的遗憾，没有使用明显的积极或消极词汇，情感表达较为平淡，属于中性陈述。
雪,这我就有话要说了,这我就有话要说了,有话要说,0,该评论仅以“这我就有话要说了”作为开场白，未表达具体观点或情感倾向，属于中性陈述，旨在引出后续内容，本身无明确褒贬。
黄昏之时可以,上次去看到了,上次去看到了,上次 看到,0,该评论仅陈述了“上次去看到了”这一事实，没有表达任何情感色彩或评价性词汇，属于客观描述，因此情感倾向为中性。
随时,已打卡,已打卡,打卡,0,该评论仅陈述了“已打卡”这一事实性行为，没有表达任何积极或消极的情绪色彩，也没有使用带有情感倾向的词汇，因此整体情感倾向为中性。
沭言,看到了！,看到了,看到,0,该评论仅包含“看到了”这一陈述性表达，没有明显的积极或消极词汇，也未体现任何情感倾向，属于客观陈述的中性评论。
FF......,OK啊明天就去,ok啊明天就去,ok 明天,1,评论中的“ok啊”表达了认可和接受的态度，“明天就去”则体现了积极的行动意愿，整体语气轻松且带有期待感，情感倾向为正面。
日的一声打成糊糊。,看到猫猫头了。,看到猫猫头了,看到 猫猫,1,评论中“猫猫头”是网络用语，通常带有可爱、亲切的意味，表达了对相关内容的喜爱和关注，整体情感倾向为正面。
早八求放过,锦里啥都有 还有那种小手办,锦里啥都有 还有那种小手办,锦里 那种 小手,1,评论中“啥都有”和“小手办”等表述带有满足和喜爱的意味，整体语气轻松，表达了对锦里丰富内容和可爱周边的积极感受，情感倾向为正面。
咩咩咩咩咩咩咩咩,黑瞎子,黑瞎子,黑瞎子,0,该评论仅提及“黑瞎子”这一名称，未表达任何明确的情感倾向或评价，属于中性陈述，无法判断正面或负面情感。
依哕,太厉害了,太厉害了,厉害,1,评论中使用了“太厉害了”这一强烈赞美性表达，直接传达出对对象的钦佩和高度认可，情感色彩鲜明且积极。
一起看日落,woc这个牛掰,woc这个牛掰,woc,1,评论中“woc”作为感叹词表达强烈惊喜，“牛掰”是网络用语中表示“厉害、出色”的积极词汇，整体语气充满赞叹和认可，情感倾向明显为正面。
上岸刘亦菲,？高低得去看看,高低得去看看,高低 看看,1,"该评论表达了强烈的兴趣和期待，""高低得去看看""是网络用语，表示无论如何都要去观看或体验，带有积极的参与意愿和好奇心，整体情感倾向为正面。"
Green bamboo,哇塞塞,哇塞塞,哇塞,1,该评论使用了“哇塞塞”这一网络流行语，通常用于表达惊喜、赞叹或兴奋的情绪，带有明显的积极情感色彩，整体情感倾向为正面。
SU,第五页的夏彦好可爱啊,第五页的夏彦好可爱啊,第五 夏彦好 可爱,1,评论中使用了“好可爱”这一明确表达喜爱之情的积极词汇，直接表达了对特定角色（夏彦）的赞赏和正面情感，整体情感倾向为正面。
我都当梦女了你让让我,去给我代购,去给我代购,代购,0,该评论仅表达请求他人代购的意图，未使用明显情感词汇，也未体现对代购对象或行为的评价，属于中性陈述。
七七.,啊哈,啊哈,啊哈,0,"该评论仅包含语气词""啊哈""，没有明确的积极或消极情感表达，无法判断具体的情感倾向，属于中性评论。"
易彧症,！！！朋友给我搞的,朋友给我搞的,朋友,0,该评论仅陈述了“朋友给我搞的”这一事实，没有表达明确的情感倾向，既无积极词汇也无消极词汇，属于中性陈述。
momo,好好看,好好看,好好看,1,该评论使用了“好好看”这一积极表达，直接表达了对内容的喜爱和赞赏，情感倾向明确为正面。
梓桦喵,好强,好强,好强,1,评论中使用了“好强”这一积极词汇，表达了对对象能力或表现的赞赏与肯定，整体情感倾向明显为正面。
取啥名字好,好好看,好好看,好好看,1,"评论中使用了""好好看""这一积极表达，直接表达了对内容或事物的喜爱和赞赏，体现了明显的正面情感倾向。"
苍槙,有柯南吗,有柯南吗,柯南,0,该评论仅询问是否有柯南出现，属于信息询问类表达，没有使用明显的情感词汇或表达倾向，因此情感倾向为中性。
小谢不吃小蟹,有光夜！,有光夜,有光夜,0,该评论仅提及“有光夜”这一名称，未表达任何明确的情感态度或评价，既无积极词汇也无消极表述，属于简单陈述性质，因此情感倾向为中性。
小饺吃了么^,我勒个痘,我勒个痘,我勒个,0,该评论“我勒个痘”是网络用语，通常用于表达惊讶或调侃，但本身没有明确的情感指向，既不包含积极或消极的词汇，也未涉及具体评价内容，因此整体情感倾向为中性。
势必,给我买芙蓉的,给我买芙蓉的,芙蓉,0,该评论仅表达了对芙蓉的购买需求，没有使用明显的情感词汇，也未表现出积极或消极的态度，属于中性陈述。
圆圆不园👀,好帅！,好帅,好帅,1,评论中使用了“好帅”这一直接表达赞美和欣赏的积极词汇，明确表达了对对象外貌或表现的喜爱与肯定，整体情感倾向明显为正面。
just,感觉是同一家的,感觉是同一家的,一家,0,该评论仅表达了对事物关联性的观察，没有使用明显的情感词汇，也没有表达喜爱、批评或期待等情绪，属于客观陈述，因此情感倾向为中性。
流星（好运连连版）,傅融这个绝美！老师可以说下价格么,傅融这个绝美 老师可以说下价格么,傅融 绝美 老师 价格,1,"评论中使用了""绝美""这一高度赞赏的词汇，表达了对角色形象的强烈喜爱，同时询问价格的行为隐含了购买意愿和兴趣，整体情感积极且带有期待。"
主控皮套不烫嘴,是在锦里嘛，我上次去也看见这个秦彻了还给朋友拍了,是在锦里嘛 我上次去也看见这个秦彻了还给朋友拍了,锦里 上次 看见 秦彻 还给 朋友,1,评论者提到在锦里看到“秦彻”并给朋友拍照，语气轻松自然，带有分享经历的愉悦感，体现了对所见内容的认可和积极互动，整体情感倾向为正面。
薯饼,我天呢。,我天呢,我天,0,该评论仅使用了“我天呢”这一感叹词，通常表达惊讶或感慨，但缺乏具体的情感指向或评价内容，无法明确判断其正面或负面倾向，因此归类为中性。
剪纸恶魔中夜君,为了吃点冷门谷，两眼一睁我就是做,为了吃点冷门谷 两眼一睁我就是做,吃点 冷门 两眼 一睁,1,评论中“为了吃点冷门谷”体现了对特定事物的喜爱和追求，“两眼一睁我就是做”则使用了积极、果断的表达，展现了行动力和热情，整体情感倾向为正面。
peaches,我这辈子没求过你什么事,我这辈子没求过你什么事,这辈子 没求,-1,该评论使用了“这辈子没求过你什么事”的表达，暗示了强烈的委屈、不满或失望情绪，带有明显的负面情感倾向，通常用于表达对他人行为的抱怨或控诉。
肆雪凰莲,看看我,看看我,看看,0,该评论仅表达“看看我”的简单陈述，没有使用明显的情感词汇或表达特定态度，缺乏明确的情感倾向，因此判断为中性。
かんい汐,锦里诶 想去,锦里诶 想去,锦里,1,评论中使用了“想去”这一表达愿望的积极词汇，直接表达了对锦里这个地方的向往和喜爱，整体情感倾向明确为正面。
黎明不够亮,封面,封面,封面,0,该评论仅包含“封面”一词，没有表达任何具体的情感倾向或评价内容，属于中性陈述，无法判断正面或负面情感。
Vinia,剪给亲友的,剪给亲友的,亲友,0,该评论仅陈述了视频制作的对象是亲友，没有表达任何情感倾向或评价内容，属于客观陈述，因此情感倾向为中性。
Glory～,礼貌问价,礼貌问价,礼貌 问价,0,该评论仅表达了询问价格的意图，使用了礼貌用语“礼貌问价”，没有明显的积极或消极情感表达，属于中性信息咨询。
海栗猫,你给我剪两个,你给我剪两个,两个,0,该评论仅提出一个具体请求“剪两个”，没有使用明显的情感词汇或表达态度，属于中性陈述，无法判断正面或负面情感倾向。
广陵王老五,天才！,天才,天才,1,该评论使用了“天才”这一高度赞扬的词汇，通常用于表达对某人或某事的极度欣赏和肯定，情感色彩强烈且积极，整体情感倾向明显为正面。
JesSiCA_蛍,芙蓉好美啊,芙蓉好美啊,芙蓉 好美,1,该评论使用了“好美”这一积极赞美词汇，直接表达了对芙蓉的喜爱和欣赏，情感倾向明确为正面。
瞧瞧联动了啥,好厉害,好厉害,厉害,1,评论中使用了“好厉害”这一积极词汇，表达了对对象或事件的赞赏与钦佩，整体情感倾向明显为正面。
小木瓜子（好运版),好好看,好好看,好好看,1,该评论使用了“好好看”这一积极评价词汇，直接表达了对内容的喜爱和赞赏，整体情感倾向明显为正面。
沈了故了个北,好棒,好棒,好棒,1,"该评论使用了""好棒""这一积极词汇，直接表达了对内容的赞赏和喜爱，情感倾向明确为正面。"
瓶盖.,妈妈呀！！！！！,妈妈呀,妈妈,0,该评论仅包含感叹词“妈妈呀”，通常用于表达惊讶或感叹，但缺乏具体语境和情感指向，无法明确判断其正面或负面倾向，因此归类为中性。
小黄同学🌾（暂停营业版）,我的天，吧唧什么的我不会买，但是这种我看到真的会入手,我的天 吧唧什么的我不会买 但是这种我看到真的会入手,吧唧 不会 看到 入手,1,评论中“我的天”表达惊喜，“真的会入手”明确表达了购买意愿和喜爱，整体情感积极正面。
沛洋洋8,找个时间去哈,找个时间去哈,找个 时间,0,该评论仅表达了一个计划或建议，即“找个时间去哈”，没有使用明显的积极或消极词汇，也未体现强烈的情感色彩，属于中性陈述。
阿豆拉（关评论版）,我绝对会买的真的,我绝对会买的真的,绝对,1,评论中使用了“绝对会买”这样强烈的肯定表达，结合“真的”加强语气，明确表达了购买意愿和积极支持的态度，整体情感倾向为正面。
king86_小太阳🍍,这题我会！ 贫穷使我多才多艺,这题我会 贫穷使我多才多艺,这题 我会 贫穷 多才多艺,0,该评论以自嘲的口吻描述“贫穷”促使自己变得“多才多艺”，虽带有调侃意味，但并未表达强烈的正面或负面情绪，更多是陈述一种生活状态，整体情感倾向为中性。
别逼我了.,之前不是你艾特过了吗,之前不是你艾特过了吗,之前 艾特过,0,该评论仅是对之前提及或通知行为的确认，没有表达明显的情感倾向，属于中性陈述。
李亿多金,买过，拿到家仔细一看不是纸，是机器刻的木板画,买过 拿到家仔细一看不是纸 是机器刻的木板画,买过 拿到 仔细 一看 机器 木板,-1,评论指出产品与预期不符，使用“不是纸，是机器刻的木板画”表达失望和不满，暗示存在误导或质量问题，整体情感倾向为负面。
誰说我不靈的！,我的人脉快给我进货,我的人脉快给我进货,人脉 快给我 进货,1,该评论使用了“快给我进货”这种带有急切期待的表达方式，结合“我的人脉”这一网络用语，体现了对某事物（如商品、内容等）的强烈喜爱和渴望，整体情感积极且充满热情。
枳瑾,老师  国庆有傅融莫  晚上会营业吗,老师 国庆有傅融莫 晚上会营业吗,老师 国庆 傅融 营业,0,该评论以询问为主，询问国庆期间是否有傅融相关内容及晚上是否营业，未使用明显的情感词汇，仅表达信息获取意图，无褒贬倾向，属于中性情感。
阿辞呀（被创到戒小红书ing）,诡秘刚从成都旅游回来,诡秘刚从成都旅游回来,诡秘 成都旅游 回来,0,"该评论仅陈述了""诡秘刚从成都旅游回来""这一事实性信息，没有使用任何表达情感倾向的词汇，也没有隐含明显的褒贬态度，属于中性陈述。"
公文包💼一世大帝,我也，但是感觉自己对于剪纸了解的还是太少了,我也 但是感觉自己对于剪纸了解的还是太少了,剪纸 了解 太少,0,该评论表达了个人对剪纸知识不足的自我反思，使用了“感觉……太少了”的陈述性表达，没有明显的积极或消极情绪词汇，整体偏向客观描述，因此情感倾向为中性。
小🐟,一眼看到了张起灵,一眼看到了张起灵,一眼 看到 张起,1,该评论表达了用户在看到张起灵时的惊喜和关注，虽然没有使用强烈的积极词汇，但“一眼看到”暗示了角色或内容的吸引力，整体情感倾向为正面。
铁血莫问（怎么才能捏到109,这题我也会,这题我也会,这题,0,该评论仅表达了对问题的熟悉或自信，没有使用明显的情感词汇，也没有表达出积极或消极的态度，整体情感倾向为中性。
旌蛰,自己画剪纸图，然后自己刻,自己画剪纸图 然后自己刻,剪纸,0,该评论仅陈述了“自己画剪纸图然后自己刻”这一事实，没有使用明显的情感词汇或表达主观评价，属于客观描述行为，整体情感倾向为中性。
澳洲芒果冻,p1两个好帅……,p两个好帅,两个 好帅,1,评论中使用了“好帅”这一积极形容词，直接表达了对两位角色的赞赏和喜爱，整体情感倾向明显为正面。
AAA阴暗爬行生物,这题我会！,这题我会,这题 我会,1,该评论使用了“这题我会”这一网络流行语，表达了对话题的熟悉和自信，带有积极参与和分享的意味，整体情感倾向为正面。
朝岚夕霏,这个可以试试，本手残唯一能坚持下来做出成品的手工类型，而且成本非常低，这是当时第一次刻的,这个可以试试 本手残唯一能坚持下来做出成品的手工类型 而且成本非常低 这是当时第一次刻的,试试 本手 唯一 坚持 下来 做出 成品 手工 类型 成本 非常低 这是 当时 第一次,1,评论中提到“可以试试”、“唯一能坚持下来”、“成本非常低”等积极表述，表达了对手工类型的喜爱和成就感，整体情感倾向为正面。
Juanita,厉害了,厉害了,厉害,1,评论中“厉害了”是网络常用赞美用语，通常表示对某事物或某人的高度认可和赞赏，带有明显的积极情感色彩，整体情感倾向为正面。
取啥名字好,好好看,好好看,好好看,1,该评论使用了“好好看”这一积极表达，直接传达了对内容的喜爱和赞赏，没有负面或中性词汇，整体情感倾向明确为正面。
迫降的哈基米,我靠，好看的很啊那个傅融做的,我靠 好看的很啊那个傅融做的,好看 傅融,1,评论中“我靠”为感叹词加强语气，“好看的很啊”直接表达强烈赞赏，整体用口语化表达展现对傅融角色的高度喜爱和兴奋情绪，情感倾向明显为正面。
始影,有没有网店,有没有网店,有没有 网店,0,该评论仅询问“有没有网店”，属于信息查询或事实确认，未表达明显的积极或消极情绪，没有情感倾向性词汇，因此判断为中性。
木偶,这个简单呀，自己就能做,这个简单呀 自己就能做,简单,0,该评论仅陈述“这个简单，自己就能做”的事实性信息，没有表达明显的情感倾向，既无积极词汇也无消极词汇，属于中性表达。
严青（米孝子咔我）,这题我会,这题我会,这题 我会,0,该评论仅表示对问题或话题的熟悉程度，使用了“这题我会”这一常见表达，但未涉及具体的情感评价或态度倾向，属于中性陈述。
淺沐唯,好好看！！！,好好看,好好看,1,评论中使用了“好好看”这一积极表达，直接表达了对内容的喜爱和赞赏，整体情感倾向明显为正面。
小苡茉,你别说，这个我还真会,你别说 这个我还真会,真会,1,评论中“你别说”带有惊喜语气，“还真会”表达了自信和积极态度，整体传递出对自身能力的肯定和愉悦情绪，情感倾向为正面。
momo,我有纸和刻刀，请问手去哪里领？,我有纸和刻刀 请问手去哪里领,刻刀 请问 手去,0,该评论以幽默口吻询问“手去哪里领”，表达了对制作手工艺品的兴趣，但并未直接表达对内容的喜爱或批评，更多是调侃和互动性质，情感倾向不明显。
ENFP,我去啊这个看着就很难,我去啊这个看着就很难,看着,-1,评论中“我去啊”表达惊讶或不满，“很难”直接指出困难程度，整体语气带有明显的负面情绪，暗示对内容或任务的抗拒和担忧。
成都非遗,我知道,我知道,知道,0,该评论仅陈述“我知道”这一事实，没有使用任何带有情感色彩的词汇，也没有表达明确的态度或评价，因此情感倾向为中性。
荒一freedom,太与时俱进了有点,太与时俱进了有点,与时俱进,0,该评论表达了“与时俱进”这一中性评价，但“有点”一词带有轻微保留态度，整体未表现出明显的积极或消极情绪，属于中性偏客观的陈述。
周末要去买花,天呐,天呐,天呐,0,"该评论仅包含感叹词""天呐""，没有明确的上下文信息，无法判断具体的情感倾向。感叹词本身可以表达惊讶、赞叹或担忧等多种情绪，但缺乏具体内容支撑，因此归类为中性情感。"
你废了你,我的吗评论区开眼了！！,我的吗评论区开眼了,评论 开眼,-1,该评论中“开眼了”通常带有讽刺或惊讶的负面意味，暗示对评论区内容感到不满或失望，整体表达了一种消极的情绪倾向。
肃穆,博主留意一下我前面的评论吧,博主留意一下我前面的评论吧,博主 留意 前面 评论,0,该评论仅表达了希望博主关注自己之前评论的请求，没有使用明显的情感词汇，也未表现出积极或消极的情绪倾向，属于中性表达。
